               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  71,            0.047886,             0.23256,                   0,             0.87972,             0.75634,             0.84407,             0.41717,            0.045359,               0.137,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.047645,             0.22715,                   0,             0.88181,             0.76732,             0.85087,             0.42217,            0.045034,             0.13552,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.047814,             0.22829,                   0,             0.88204,             0.76375,             0.84813,              0.4111,            0.045696,             0.13559,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.047732,             0.23114,                   0,             0.87842,             0.76973,             0.85077,             0.41352,            0.045537,             0.13537,                   0,            0.002773,            0.002773,            0.002773
                  75,             0.04797,             0.23396,                   0,             0.87896,              0.7667,             0.84915,             0.41152,            0.045584,             0.13582,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.047741,             0.23061,                   0,             0.88384,             0.77536,             0.85643,             0.42364,            0.044704,             0.13457,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.047979,             0.23417,                   0,              0.8822,             0.76334,             0.84702,             0.41136,            0.045647,             0.13568,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.047534,             0.23221,                   0,             0.88099,             0.76806,             0.85064,              0.4124,            0.045438,             0.13536,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.047829,             0.23204,                   0,             0.88331,             0.76641,             0.85134,             0.42484,            0.044768,              0.1355,                   0,            0.002278,            0.002278,            0.002278
                  80,             0.04753,              0.2316,                   0,             0.88055,             0.76445,             0.84785,             0.41168,            0.045534,             0.13603,                   0,            0.002179,            0.002179,            0.002179
                  81,              0.0477,             0.23077,                   0,             0.87887,             0.76578,             0.84945,             0.41392,            0.045448,             0.13535,                   0,             0.00208,             0.00208,             0.00208
                  82,             0.04755,             0.23047,                   0,             0.88154,             0.76715,             0.85013,             0.41794,             0.04508,             0.13543,                   0,            0.001981,            0.001981,            0.001981
